"","score"
"1",21.46
"2",14.16
"3",21.94
"4",15.57
"5",17.62
"6",23.05
"7",15.65
"8",11.82
"9",21.78
"10",15.58
"11",21.98
"12",21.25
"13",15.5
"14",16.67
"15",21.67
"16",15.65
"17",19.16
"18",20.4
"19",14.82
"20",18.03
"21",20.21
"22",22.06
"23",15.5
"24",23
"25",22.11
"26",17.23
"27",22.43
"28",17.93
"29",19.13
"30",23.17
"31",18.02
"32",14.36
"33",22.29
"34",17.95
"35",21.94
"36",22.52
"37",17.87
"38",19.87
"39",22.21
"40",18.02
"41",20.44
"42",20.89
"43",16.51
"44",19.05
"45",21.69
"46",22.42
"47",17.87
"48",23.08
"49",21.4
"50",21.4
"51",15.44
"52",15.44
"53",21.79
"54",21.79
"55",16.49
"56",16.49
"57",17.93
"58",17.93
"59",22.65
"60",22.65
"61",16.59
"62",16.59
"63",11.76
"64",11.76
"65",21.63
"66",21.63
"67",16.52
"68",16.52
"69",21.75
"70",21.75
"71",21.24
"72",21.24
"73",16.4
"74",16.4
"75",17.67
"76",17.67
"77",21.53
"78",21.53
"79",16.59
"80",16.59
"81",19.27
"82",19.27
"83",19.6
"84",19.6
"85",15.12
"86",15.12
"87",17.91
"88",17.91
"89",20.77
"90",20.77
"91",21.83
"92",21.83
"93",16.4
"94",16.4
"95",22.53
"96",22.53
"97",21.9
"98",21.9
"99",17.28
"100",17.28
"101",22.2
"102",22.2
"103",18.19
"104",18.19
"105",19.11
"106",19.11
"107",22.89
"108",22.89
"109",18.26
"110",18.26
"111",15.74
"112",15.74
"113",22.05
"114",22.05
"115",18.2
"116",18.2
"117",21.29
"118",21.29
"119",22.8
"120",22.8
"121",18.15
"122",18.15
"123",20.13
"124",20.13
"125",21.99
"126",21.99
"127",18.26
"128",18.26
"129",20.29
"130",20.29
"131",21.49
"132",21.49
"133",16.69
"134",16.69
"135",18.99
"136",18.99
"137",21.15
"138",21.15
"139",21.94
"140",21.94
"141",18.15
"142",18.15
"143",22.77
"144",22.77
"145",22.36
"146",22.36
"147",17.78
"148",17.78
"149",22.66
"150",22.66
"151",18.3
"152",18.3
"153",19.42
"154",19.42
"155",23.41
"156",23.41
"157",18.42
"158",18.42
"159",14.08
"160",14.08
"161",22.55
"162",22.55
"163",18.32
"164",18.32
"165",22.4
"166",22.4
"167",22.51
"168",22.51
"169",18.25
"170",18.25
"171",21.53
"172",21.53
"173",22.46
"174",22.46
"175",18.42
"176",18.42
"177",20.99
"178",20.99
"179",20.51
"180",20.51
"181",16.77
"182",16.77
"183",19.34
"184",19.34
"185",22.27
"186",22.27
"187",23.08
"188",23.08
"189",18.25
"190",18.25
"191",23.34
"192",23.34
"193",22.24
"194",22.24
"195",17.92
"196",17.92
"197",22.53
"198",22.53
"199",18.22
"200",18.22
"201",19.57
"202",19.57
"203",23.21
"204",23.21
"205",18.3
"206",18.3
"207",15.4
"208",15.4
"209",22.41
"210",22.41
"211",18.24
"212",18.24
"213",21.78
"214",21.78
"215",22.98
"216",22.98
"217",18.16
"218",18.16
"219",19.6
"220",19.6
"221",22.34
"222",22.34
"223",18.3
"224",18.3
"225",20.81
"226",20.81
"227",21.37
"228",21.37
"229",16.99
"230",16.99
"231",19.45
