"","X1","team_id","year","league_id","rank","g","ghome","w","l","r","ab","h","double","triple","hr","bb","so","sb","cs","hbp","sf","ra","er","era","cg","sho","sv","ipouts","ha","hra","bba","soa","e","dp","fp","name","park","attendance","salary"
"1",1,"ARI",1998,"NL",5,162,81,65,97,665,5491,1353,235,46,159,489,1239,73,38,NA,NA,812,738,4.64,7,6,37,4296,1463,188,489,908,100,125,0.98,"Arizona Diamondbacks","Bank One Ballpark",3610290,1013596.77419355
"2",2,"ARI",1999,"NL",1,162,81,100,62,908,5658,1566,289,46,216,588,1045,137,39,NA,NA,676,615,3.77,16,9,42,4401,1387,176,543,1198,104,129,0.98,"Arizona Diamondbacks","Bank One Ballpark",3019654,2196903.19354839
"3",3,"ARI",2000,"NL",3,162,81,85,77,792,5527,1466,282,44,179,535,975,97,44,59,58,754,698,4.35,16,8,38,4331,1441,190,500,1220,107,138,0.982,"Arizona Diamondbacks","Bank One Ballpark",2942251,2993067.88888889
"4",4,"ARI",2001,"NL",1,162,81,92,70,818,5595,1494,284,35,208,587,1052,71,38,57,36,677,627,3.87,12,13,34,4379,1352,195,461,1297,84,148,0.986,"Arizona Diamondbacks","Bank One Ballpark",2736451,2955980.73076923
"5",5,"ARI",2002,"NL",1,162,81,98,64,819,5508,1471,283,41,165,643,1016,92,46,50,53,674,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.985,"Arizona Diamondbacks","Bank One Ballpark",3198977,3115757.54545455
"6",6,"ARI",2003,"NL",3,162,81,84,78,717,5570,1467,303,47,152,531,1006,76,38,45,52,685,621,3.84,7,11,42,4365,1379,150,526,1291,107,132,0.983,"Arizona Diamondbacks","Bank One Ballpark",2805542,3226280
"7",7,"ARI",2004,"NL",5,162,81,51,111,615,5544,1401,295,38,135,441,1022,53,32,35,37,899,794,4.98,5,6,33,4308,1480,197,668,1153,139,144,0.977,"Arizona Diamondbacks","Bank One Ballpark",2519560,2480383.92857143
"8",8,"ARI",2005,"NL",2,162,81,77,85,696,5550,1419,291,27,191,606,1094,67,26,55,45,856,783,4.84,6,10,45,4369,1580,193,537,1038,94,159,0.985,"Arizona Diamondbacks","Bank One Ballpark",2059424,2385044.84615385
"9",9,"ARI",2006,"NL",4,162,81,76,86,773,5645,1506,331,38,160,504,965,76,30,67,53,788,727,4.48,8,9,34,4379,1503,168,536,1115,104,172,0.983,"Arizona Diamondbacks","Chase Field",2091685,2295547.15384615
"10",10,"ARI",2007,"NL",1,162,81,90,72,712,5398,1350,286,40,171,532,1111,109,24,57,58,732,662,4.13,7,12,51,4323,1446,169,546,1088,106,157,0.983,"Arizona Diamondbacks","Chase Field",2325249,1859555.21428571
"11",11,"ARI",2008,"NL",2,162,81,82,80,720,5409,1355,318,47,159,587,1287,58,23,49,43,706,635,3.98,6,9,39,4304,1403,147,451,1229,113,137,0.981,"Arizona Diamondbacks","Chase Field",2509924,2364382.57142857
"12",12,"ARI",2009,"NL",5,162,81,70,92,720,5565,1408,307,45,173,571,1298,102,40,37,41,782,711,4.42,4,12,36,4343,1470,168,525,1158,124,133,0.98,"Arizona Diamondbacks","Chase Field",2128765,2812141
"13",13,"ARI",2010,"NL",5,162,81,65,97,713,5473,1366,301,34,180,589,1529,86,41,39,41,836,765,4.81,3,3,35,4296,1503,210,548,1070,102,152,0.983,"Arizona Diamondbacks","Chase Field",2056941,2088726.64
"14",14,"ARI",2011,"NL",1,162,81,94,68,731,5421,1357,293,37,172,531,1249,133,55,61,33,662,609,3.8,5,12,58,4330,1414,159,442,1058,90,131,0.985,"Arizona Diamondbacks","Chase Field",2105432,1986660.48148148
"15",15,"ARI",2012,"NL",3,162,81,81,81,734,5462,1416,307,33,165,539,1266,93,51,41,45,688,626,3.93,4,9,39,4301,1432,155,417,1200,90,146,0.985,"Arizona Diamondbacks","Chase Field",2177617,2733512.33333333
"16",16,"ARI",2013,"NL",2,162,81,81,81,685,5676,1468,302,31,130,519,1142,62,41,43,43,695,651,3.92,6,7,38,4485,1460,176,485,1218,75,135,0.988,"Arizona Diamondbacks","Chase Field",2134795,3004400
"17",17,"ARI",2014,"NL",5,162,81,64,98,615,5552,1379,259,47,118,398,1165,86,33,43,36,742,683,4.26,2,4,35,4333,1467,154,469,1278,101,147,0.983,"Arizona Diamondbacks","Chase Field",2073730,4035291.66666667
"18",18,"ARI",2015,"NL",3,162,81,79,83,720,5649,1494,289,48,154,490,1312,132,44,33,57,713,659,4.04,1,12,44,4400,1450,182,500,1215,86,146,0.986,"Arizona Diamondbacks","Chase Field",2080145,2132206.89655172
"19",19,"ATL",1986,"NL",6,161,81,72,89,615,5384,1348,241,24,138,538,904,93,76,NA,NA,719,628,3.97,17,5,39,4272,1443,117,576,932,141,181,0.97,"Atlanta Braves","Atlanta-Fulton County Stadium",1387181,599911.44
"20",20,"ATL",1987,"NL",5,161,81,69,92,747,5428,1401,284,24,152,641,834,135,68,NA,NA,829,734,4.63,16,4,32,4281,1529,163,587,837,116,170,0.98,"Atlanta Braves","Atlanta-Fulton County Stadium",1217402,457885.068965517
"21",21,"ATL",1988,"NL",6,160,79,54,106,555,5440,1319,228,28,96,432,848,95,69,NA,NA,741,657,4.09,14,4,25,4338,1481,108,524,810,151,138,0.97,"Atlanta Braves","Atlanta-Fulton County Stadium",848089,422434.785714286
"22",22,"ATL",1989,"NL",6,161,79,63,97,584,5463,1281,201,22,128,485,996,83,54,NA,NA,680,595,3.7,15,8,33,4341,1370,114,468,966,152,124,0.97,"Atlanta Braves","Atlanta-Fulton County Stadium",984930,340891.038461538
"23",23,"ATL",1990,"NL",6,162,81,65,97,682,5504,1376,263,26,162,473,1010,92,55,NA,NA,821,727,4.58,17,8,30,4287,1527,128,579,938,158,133,0.97,"Atlanta Braves","Atlanta-Fulton County Stadium",980129,435390.827586207
"24",24,"ATL",1991,"NL",1,162,81,94,68,749,5456,1407,255,30,141,563,906,165,76,NA,NA,644,563,3.49,18,7,48,4356,1304,118,481,969,138,122,0.97,"Atlanta Braves","Atlanta-Fulton County Stadium",2140217,685369.565217391
"25",25,"ATL",1992,"NL",1,162,81,98,64,682,5480,1391,223,48,138,493,924,126,60,NA,NA,569,509,3.14,26,24,41,4380,1321,89,489,948,109,121,0.98,"Atlanta Braves","Atlanta-Fulton County Stadium",3077400,1082511.1
"26",26,"ATL",1993,"NL",1,162,81,104,58,767,5515,1444,239,29,169,560,946,125,48,NA,NA,559,508,3.14,18,16,46,4365,1297,101,480,1036,108,146,0.98,"Atlanta Braves","Atlanta-Fulton County Stadium",3884720,1297731.78125
"27",27,"ATL",1994,"NL",2,114,55,68,46,542,3861,1031,198,18,137,377,668,48,31,NA,NA,448,407,3.57,16,4,26,3078,929,76,378,865,81,85,0.98,"Atlanta Braves","Atlanta-Fulton County Stadium",2539240,1563375.46428571
"28",28,"ATL",1995,"NL",1,144,72,90,54,645,4814,1202,210,27,168,520,933,73,43,NA,NA,540,493,3.44,18,11,34,3873,1184,107,436,1087,100,113,0.98,"Atlanta Braves","Atlanta-Fulton County Stadium",2561831,1683087.32142857
"29",29,"ATL",1996,"NL",1,162,81,96,66,773,5614,1514,264,28,197,530,1032,83,43,NA,NA,648,578,3.54,14,9,46,4407,1372,120,451,1245,130,143,0.98,"Atlanta Braves","Atlanta-Fulton County Stadium",2901242,1709982.75862069
"30",30,"ATL",1997,"NL",1,162,81,101,61,791,5528,1490,268,37,174,597,1160,108,58,NA,NA,581,518,3.18,21,17,37,4395,1319,111,450,1196,114,136,0.98,"Atlanta Braves","Turner Field",3464488,1837267.85714286
"31",31,"ATL",1998,"NL",1,162,81,106,56,826,5484,1489,297,26,215,548,1062,98,43,NA,NA,581,519,3.25,24,23,45,4315,1291,117,467,1232,91,139,0.98,"Atlanta Braves","Turner Field",3360860,2160035.71428571
"32",32,"ATL",1999,"NL",1,162,81,103,59,840,5569,1481,309,23,197,608,962,148,66,NA,NA,661,593,3.63,9,9,45,4413,1398,142,507,1197,111,122,0.98,"Atlanta Braves","Turner Field",3284897,2478269.23076923
"33",33,"ATL",2000,"NL",1,162,81,95,67,810,5489,1490,274,26,179,595,1010,148,56,59,45,714,648,4.05,13,9,53,4321,1428,165,484,1093,129,138,0.979,"Atlanta Braves","Turner Field",3234304,2800660.59259259
"34",34,"ATL",2001,"NL",1,162,81,88,74,729,5498,1432,263,24,174,493,1039,85,46,45,52,643,578,3.59,5,13,41,4342,1363,153,499,1133,103,133,0.983,"Atlanta Braves","Turner Field",2823530,3260416.64285714
"35",35,"ATL",2002,"NL",1,161,81,101,59,708,5495,1428,280,25,164,558,1028,76,39,54,49,565,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.982,"Atlanta Braves","Turner Field",2603484,3638414.68
"36",36,"ATL",2003,"NL",1,162,81,101,61,907,5670,1608,321,31,235,545,933,68,22,49,49,740,663,4.1,4,7,51,4369,1425,147,555,992,121,166,0.981,"Atlanta Braves","Turner Field",2401084,3970910.26923077
"37",37,"ATL",2004,"NL",1,162,81,96,66,803,5570,1503,304,37,178,587,1158,86,32,59,48,668,603,3.74,4,13,48,4350,1475,154,523,1025,116,171,0.981,"Atlanta Braves","Turner Field",2327565,3220803.57142857
"38",38,"ATL",2005,"NL",1,162,81,90,72,769,5486,1453,308,37,184,534,1084,92,32,45,46,674,639,3.98,8,12,38,4331,1487,145,520,929,86,170,0.986,"Atlanta Braves","Turner Field",2521167,3458292.08
"39",39,"ATL",2006,"NL",3,162,81,79,83,849,5583,1510,312,26,222,526,1169,52,35,52,44,805,736,4.6,6,6,38,4324,1529,183,572,1049,99,146,0.984,"Atlanta Braves","Turner Field",2550524,2883358.96153846
"40",40,"ATL",2007,"NL",3,162,81,84,78,810,5689,1562,328,27,176,534,1149,64,30,49,47,733,665,4.11,1,6,36,4369,1442,172,537,1106,107,141,0.983,"Atlanta Braves","Turner Field",2745207,2866233.32
"41",41,"ATL",2008,"NL",4,162,81,72,90,753,5604,1514,316,33,130,618,1023,58,27,42,34,778,714,4.46,2,7,26,4322,1439,156,586,1076,107,149,0.983,"Atlanta Braves","Turner Field",2532834,3516402.86206897
"42",42,"ATL",2009,"NL",3,162,81,86,76,735,5539,1459,300,20,149,602,1064,58,26,52,47,641,581,3.57,3,10,38,4388,1399,119,530,1232,96,159,0.985,"Atlanta Braves","Turner Field",2373631,3530413.55555556
"43",43,"ATL",2010,"NL",2,162,81,91,71,738,5463,1411,312,25,139,634,1140,63,29,51,35,629,569,3.56,2,9,41,4318,1326,126,505,1241,126,166,0.98,"Atlanta Braves","Turner Field",2510119,3231583.30769231
