CountyName,FIPS,2010,2011,2012,2013,2014,2015,Total,Econ_Stand,Pov_Pct,Med_Income,Med_Age,White_NH,Not_White,High_School,Higher_Ed,StatePD_District,Pop_per_Sq_Mile,Farm_Pct
Adams,17001,114,102,67,56,71,119,529,1,13.4,2,40.6,93,7,91.3,21.2,20,78.5,71
Alexander,17003,0,0,2,1,2,0,5,2,28.6,1,39.7,60.5,39.5,77.7,8,22,35,41.4
Bond,17005,0,0,6,15,1,15,37,2,14.8,3,40.1,88.9,11.1,86.9,17.6,11,46.7,81.5
Boone,17007,0,0,1,1,0,0,2,2,10.3,5,38.2,75.2,24.8,86.7,20.2,16,193,75
Brown,17009,1,1,0,3,0,1,6,0,16.7,4,37.7,74.8,25.2,85.8,14,20,22.7,70.3
Bureau,17011,1,0,0,2,0,3,6,1,12.6,3,43.4,90,10,90,17.9,17,40.2,80.9
Calhoun,17013,0,0,0,0,0,0,0,2,11.6,4,46.9,98.3,1.7,91.4,15.6,18,20,54
Carroll,17015,0,0,2,0,16,13,31,0,10.7,3,47.5,94.9,5.1,90.5,16.2,1,34.6,90
Cass,17017,0,0,13,12,41,19,85,0,12.2,3,39.2,79.4,20.6,85.5,13.9,9,36.3,76
Champaign,17019,5,1,1,7,23,5,42,2,20.1,2,29.3,70.9,29.1,94.3,43.4,10,201.8,96.7
Christian,17021,5,4,2,13,20,16,60,1,12.7,2,42,95.8,4.2,88.2,14.2,9,49.1,82.3
Clark,17023,3,19,20,14,17,12,85,0,13.8,3,43.4,97.5,2.5,90.2,18.1,12,32.6,83.1
Clay,17025,1,10,13,20,15,21,80,0,14.5,2,42.8,97.2,2.8,88,14.8,12,29.5,90.2
Clinton,17027,1,6,6,5,1,11,30,2,8.5,5,40.1,92.1,7.9,89.6,20.8,11,79.7,94.1
Coles,17029,2,11,7,32,26,59,137,1,21.8,1,33.3,91.6,8.4,90.3,24.1,10,106,82
Cook,17031,89,100,77,106,66,83,521,2,16.2,5,35.9,43.9,56.1,85.3,35.8,3 & 4,5495.1,1.4
Crawford,17033,11,9,13,8,38,10,89,0,13.4,3,42.4,91.9,8.1,89,18.8,12,44.7,75.7
Cumberland,17035,1,1,0,1,7,1,11,1,12,2,41.6,97.9,2.1,88.2,13.6,12,31.9,76.8
DeKalb,17037,3,2,8,13,33,10,69,2,16.2,4,30.3,79.7,20.3,92.2,30,2,166.6,98.4
De Witt,17039,0,8,1,0,0,0,9,2,11.6,4,42.8,95.7,4.3,92.4,19.2,6,41.7,76.8
Douglas,17041,4,2,1,1,1,0,9,0,10.2,4,38.3,92.2,7.8,83.9,17.8,10,48,98.6
DuPage,17043,9,4,19,21,4,17,74,2,7.1,5,38.8,70.5,29.5,92.4,46.7,2,2799.8,3.5
Edgar,17045,40,28,29,48,57,67,269,0,13.9,2,43.4,97.7,2.3,87.5,18.1,10,29.8,88.2
Edwards,17047,0,2,4,10,2,0,18,0,11.3,2,43.7,97.5,2.5,88.4,11,19,30.2,75
Effingham,17049,5,6,8,33,28,27,107,1,9.8,4,38.9,96.8,3.2,91.2,20.9,12,71.5,93.7
Fayette,17051,1,7,4,14,10,12,48,0,18.5,2,40.1,93,7,82.7,13.2,12,30.9,66.1
Ford,17053,0,1,2,0,0,12,15,2,11.3,3,42.7,96,4,89.1,16.6,21,29,99.2
