,POLICE - GAS,ADMIN - GAS,DEV - GAS,O&M- GAS,O&M- DIESEL,WATER - GAS,WATER - DIESEL,SAN - GAS,SAN - DIESEL,,10-14-3-0100,10-17-3-0100,20-21-3-0100,20-22-3-0100
14-Jan,4966.27,40.99,161.29,235.02,12062.04,687.97,1371.35,458.64,914.24,,4966.27,12499.34,2059.32,1372.88
14-Feb,5821.27,0,215.57,539.38,11772.86,931.25,1557.27,620.84,1038.18,,5821.27,12527.81,2488.52,1659.02
14-Mar,5759.51,96.32,206.07,672.19,6849.43,740.42,784.66,493.61,523.11,,5759.51,7824.01,1525.08,1016.72
14-Apr,9565.84,0,382.35,826.09,3425.33,1175.45,478.43,783.64,318.95,,9565.84,4633.77,1653.88,1102.59
14-May,7120.89,49.86,395.83,285.33,-826.8,847.31,-135.45,564.87,-90.3,,7120.89,-95.78,711.86,474.57
14-Oct,5455.72,73.25,226.88,472.01,3472.23,716.56,818.18,477.71,545.45,,5455.72,4244.37,1534.74,1023.16
14-Nov,4226.3,36.94,220.25,453.36,2572.12,689.96,665.61,459.98,443.74,,4226.3,3282.67,1355.57,903.72
14-Dec,3591.58,63.67,155,405.76,1354.74,541.87,285.28,361.24,190.19,,3591.58,1979.17,827.15,551.43
15-Feb,2157.95,20.94,92.61,194.5,3755.48,350.11,541.62,233.4,361.08,,2157.95,4063.53,891.73,594.48
15-Mar,4351.66,78.8,144.1,445.8,3822.29,686.55,648.96,457.7,432.64,,4351.66,4490.99,1335.51,890.34
15-Apr,4713.65,90.58,159.3,805.85,1360.34,672.08,540.8,448.06,360.53,,4713.65,2416.07,1212.88,808.59
15-May,3459.39,12.33,105.08,520.82,759.38,408.64,256.21,272.42,170.81,,3459.39,1397.61,664.85,443.23
15-Jun,3268.14,8.9,130.39,592.57,879.17,372.99,174.03,248.66,116.02,,3268.14,1611.03,547.02,364.68
15-Jul,4982.24,23.41,261.32,531.53,363,523.88,103.39,349.26,68.92,,4982.24,1179.26,627.27,418.18
15-Aug,3291.8,21.54,106.2,366.53,1706.97,319.87,564.15,213.24,376.1,,3291.8,2201.24,884.02,589.34
15-Sep,4345.79,0,154.83,535.33,743.14,447.04,297.73,298.03,198.49,,4345.79,1433.3,744.77,496.52
15-Oct,3315.24,0,155.25,287.7,2851.96,420.58,713.59,280.39,475.73,,3315.24,3294.91,1134.17,756.12
15-Nov,2371.04,0,102.17,214.39,1419.63,318.19,308.68,212.13,205.78,,2371.04,1736.19,626.87,417.91
15-Dec,4332.64,0,231.31,201.87,1884.52,560.27,255.91,373.52,170.61,,4332.64,2317.7,816.18,544.13
16-Jan,2710.17,0,68.34,216.51,3467.49,298.9,659.23,199.26,439.48,,2710.17,3752.34,958.13,638.74
16-Feb,1222.79,10.23,49.2,155.07,2220.92,130.85,379.07,87.23,252.71,,1222.79,2435.42,509.92,339.94
16-Mar,3025.75,0,132.79,384.73,1227.8,260.79,442.64,173.86,295.1,,3025.75,1745.32,703.43,468.96
16-Apr,2541.88,0,67.78,371.58,92.61,276.62,28.21,184.41,18.81,,2541.88,531.97,304.83,203.22
16-May,2898.49,39.17,88.63,272.55,1044.03,308.04,338.08,205.36,225.39,,2898.49,1444.38,646.12,430.75
16-Jun,4132.21,0,185.07,604.52,1599.83,464.49,648.62,309.66,432.42,,4132.21,2389.42,1113.11,742.08
16-Jul,3971.36,0,87.24,595.95,1157.33,400.8,673.84,267.2,449.23,,3971.36,1840.52,1074.64,716.43
16-Aug,4042.31,0,132.94,536.8,1591.68,420.47,428.07,280.32,285.38,,4042.31,2261.42,848.54,565.7
16-Sep,4597.97,0,159.06,590.15,1463.07,658.35,363.23,438.9,242.15,,4597.97,2212.28,1021.58,681.05
16-Oct,2324.06,0,94.08,282.53,2043.72,378.52,377.71,252.34,251.81,,2324.06,2420.33,756.23,504.15
16-Nov,2898.69,68.33,117.59,239.44,445.64,431.44,99.67,287.63,66.45,,2898.69,871,531.11,354.08
16-Dec,4128.79,37.35,155.99,416.28,4127.34,632.6,534.69,421.74,356.46,,4128.79,4736.96,1167.29,778.2
17-Jan,3206.29,65.48,169.17,272.86,2738,475.35,167.68,316.9,111.79,,3206.29,3245.51,643.03,428.69
17-Feb,3428.02,34.29,82.01,341.48,1395.53,495.92,246.17,330.61,164.11,,3428.02,1853.31,742.09,494.72
17-Mar,3581.21,18.13,212.47,390.31,1022.63,388.19,95.1,258.79,63.4,,3581.21,1643.54,483.29,322.19
17-Apr,1591.32,17.35,60.6,207.79,138.35,200.21,52.51,133.47,35.01,,1591.32,424.09,252.72,168.48
17-May,4317.21,91.94,192.38,509.68,1622.28,616.25,249.81,410.83,166.54,,4317.21,2416.28,866.06,577.37
17-Jun,3320.75,20.07,133.07,501.57,-177.45,417.52,-53.58,278.34,-35.72,,3320.75,477.26,363.94,242.62
17-Jul,3995.39,147.6,284.98,978.7,2300.08,489.46,0,326.31,0,,3995.39,3711.36,489.46,326.31
17-Aug,2548.34,97.26,127.85,377.47,2086.95,427.77,484.2,285.18,322.8,,2548.34,2689.53,911.97,607.98
,,,,,,,,,,,,,,
