"","nameFirst","nameLast","weight","height","bats","throws","year","team_id","league_id","salary"
"1","David","Aardsma",205,75,"R","R",2007,"CHA","AL",387500
"2","David","Aardsma",205,75,"R","R",2010,"SEA","AL",2750000
"3","David","Aardsma",205,75,"R","R",2012,"NYA","AL",500000
"4","David","Aardsma",205,75,"R","R",2009,"SEA","AL",419000
"5","David","Aardsma",205,75,"R","R",2011,"SEA","AL",4500000
"6","David","Aardsma",205,75,"R","R",2004,"SFN","NL",300000
"7","David","Aardsma",205,75,"R","R",2008,"BOS","AL",403250
"8","Don","Aase",190,75,"R","R",1988,"BAL","AL",675000
"9","Don","Aase",190,75,"R","R",1986,"BAL","AL",600000
"10","Don","Aase",190,75,"R","R",1987,"BAL","AL",625000
"11","Don","Aase",190,75,"R","R",1989,"NYN","NL",400000
"12","Andy","Abad",184,73,"L","L",2006,"CIN","NL",327000
"13","Fernando","Abad",220,73,"L","L",2014,"OAK","AL",525900
"14","Fernando","Abad",220,73,"L","L",2012,"HOU","NL",485000
"15","Fernando","Abad",220,73,"L","L",2011,"HOU","NL",418000
"16","Fernando","Abad",220,73,"L","L",2015,"OAK","AL",1087500
"17","Jeff","Abbott",190,74,"R","L",2000,"CHA","AL",255000
"18","Jeff","Abbott",190,74,"R","L",1999,"CHA","AL",255000
"19","Jeff","Abbott",190,74,"R","L",1998,"CHA","AL",175000
"20","Jeff","Abbott",190,74,"R","L",2001,"FLO","NL",300000
"21","Jim","Abbott",200,75,"L","L",1993,"NYA","AL",2350000
"22","Jim","Abbott",200,75,"L","L",1992,"CAL","AL",1850000
"23","Jim","Abbott",200,75,"L","L",1990,"CAL","AL",185000
"24","Jim","Abbott",200,75,"L","L",1989,"CAL","AL",68000
"25","Jim","Abbott",200,75,"L","L",1996,"CAL","AL",2200000
"26","Jim","Abbott",200,75,"L","L",1995,"CHA","AL",2775000
"27","Jim","Abbott",200,75,"L","L",1994,"NYA","AL",2775000
"28","Jim","Abbott",200,75,"L","L",1999,"MIL","NL",400000
"29","Jim","Abbott",200,75,"L","L",1991,"CAL","AL",357500
"30","Kurt","Abbott",180,71,"R","R",1996,"FLO","NL",250000
