year,sex,educ,attend,reltrad,income,race,partyid,abany,abnomore,abrape,abdefect,homosex,owngun,gunlaw
1972,2,16,2,5,NA,1,2,NA,1,1,1,NA,NA,1
1972,1,10,7,4,NA,1,1,NA,2,1,1,NA,NA,1
1972,2,12,4,2,NA,1,3,NA,1,1,1,NA,NA,1
1972,2,17,0,6,NA,1,1,NA,2,1,2,NA,NA,1
1972,2,12,0,2,NA,1,0,NA,1,1,1,NA,NA,1
1972,1,14,2,2,NA,1,2,NA,1,1,1,NA,NA,2
1972,1,13,7,4,NA,1,2,NA,2,1,1,NA,NA,1
1972,1,16,0,5,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,12,3,3,NA,2,0,NA,2,NA,1,NA,NA,1
1972,2,12,8,1,NA,2,0,NA,2,1,1,NA,NA,1
1972,2,13,7,1,NA,2,0,NA,2,NA,2,NA,NA,1
1972,1,6,7,1,NA,2,5,NA,2,2,2,NA,NA,1
1972,1,9,7,3,NA,2,0,NA,2,NA,1,NA,NA,1
1972,2,8,7,3,NA,2,1,NA,1,1,1,NA,NA,1
1972,1,9,8,1,NA,2,0,NA,1,2,1,NA,NA,2
1972,1,14,5,3,NA,2,0,NA,2,1,1,NA,NA,2
1972,1,14,7,1,NA,1,4,NA,2,2,2,NA,NA,2
1972,2,8,7,1,NA,1,4,NA,2,1,1,NA,NA,2
1972,2,17,7,1,NA,1,2,NA,1,1,1,NA,NA,2
1972,2,14,5,2,NA,1,4,NA,2,1,1,NA,NA,1
1972,1,12,5,2,NA,1,2,NA,2,1,2,NA,NA,NA
1972,1,11,2,1,NA,1,1,NA,1,1,1,NA,NA,2
1972,1,13,1,1,NA,1,2,NA,1,1,1,NA,NA,1
1972,2,12,0,NA,NA,1,4,NA,2,1,1,NA,NA,1
1972,2,16,3,1,NA,1,6,NA,1,1,1,NA,NA,1
1972,2,12,7,4,NA,1,4,NA,2,1,2,NA,NA,1
1972,1,12,2,1,NA,1,3,NA,1,1,1,NA,NA,2
1972,2,12,2,1,NA,1,2,NA,NA,1,1,NA,NA,2
1972,1,12,3,2,NA,1,3,NA,2,2,2,NA,NA,1
1972,1,9,7,1,NA,1,5,NA,2,2,1,NA,NA,1
