"","weight","height","male","educ","physical","stamps","white","black"
"1",208,68,0,3,1,0,0,1
"2",250,73,1,12,3,0,1,0
"3",165,69,1,9,5,0,1,0
"4",140,67,1,10,3,0,1,0
"5",100,61,0,14,2,0,1,0
"6",160,67,1,7,2,0,1,0
"7",213,63,0,12,3,1,0,1
"8",220,65,0,9,1,0,0,1
"9",130,66,0,12,4,0,0,1
"10",130,68,1,9,5,0,1,0
"11",135,67,0,12,1,0,1,0
"12",165,68,1,10,5,0,0,1
"13",188,67,1,14,1,0,0,1
"14",165,65,0,5,1,0,0,1
"15",245,69,1,6,4,0,0,1
"16",140,64,0,3,2,0,0,1
"17",214,66,0,6,2,0,0,1
"18",130,64,0,12,5,0,1,0
"19",135,64,0,17,5,0,1,0
"20",240,67,1,12,5,0,1,0
"21",125,65,0,14,4,0,1,0
"22",120,65,0,12,4,0,1,0
"23",108,60,0,12,5,0,0,0
"24",180,65,0,15,5,0,0,1
"25",101,65,0,8,1,0,1,0
"26",145,62,0,13,2,0,0,1
"27",190,67,0,16,4,0,0,1
"28",227,72,1,13,1,0,0,1
"29",160,70,1,12,5,0,1,0
"30",175,68,0,11,4,0,1,0
"31",180,70,1,8,3,0,1,0
"32",175,74,1,12,5,0,0,1
"33",232,67,1,12,5,0,0,1
"34",180,62,0,9,2,0,0,1
"35",168,73,1,14,5,0,1,0
"36",169,72,1,8,1,0,0,1
"37",115,64,0,7,3,0,0,1
"38",148,64,0,3,1,0,0,1
"39",165,71,1,12,1,0,0,1
"40",290,65,0,2,1,1,1,0
"41",145,62,0,12,3,0,1,0
"42",140,67,0,15,3,0,1,0
"43",196,66,1,8,5,0,1,0
"44",146,67,1,12,3,0,0,0
"45",160,65,0,4,2,0,0,1
"46",230,74,1,16,3,0,1,0
"47",156,61,0,10,5,0,1,0
"48",108,60,0,14,5,0,0,1
"49",165,73,1,16,4,0,1,0
"50",143,65,0,8,2,0,0,1
"51",200,67,0,17,2,0,1,0
"52",222,73,1,12,4,0,1,0
"53",165,64,0,14,1,0,1,0
"54",145,67,0,12,2,0,1,0
"55",150,66,0,14,1,0,1,0
"56",180,73,1,17,3,0,1,0
"57",159,67,1,14,1,0,1,0
"58",215,70,1,14,3,0,1,0
"59",162,64,0,10,3,0,1,0
"60",157,62,0,15,5,0,1,0
"61",140,65,0,12,3,0,1,0
"62",145,62,0,12,2,1,0,1
"63",170,69,0,13,3,0,1,0
"64",130,66,0,12,3,0,0,1
"65",186,67,0,7,1,0,1,0
"66",120,66,0,12,3,0,1,0
"67",143,60,0,8,1,0,1,0
"68",195,72,1,17,2,0,0,0
"69",200,68,1,14,3,0,0,0
"70",125,65,0,17,4,0,1,0
"71",137,69,1,9,3,0,0,1
"72",210,63,1,5,1,0,0,1
"73",167,68,0,10,5,0,0,1
"74",268,67,1,7,2,0,1,0
"75",150,63,0,15,4,0,0,1
"76",175,67,0,13,5,0,1,0
"77",115,61,0,12,3,1,0,1
"78",200,64,0,12,1,0,0,1
"79",136,63,0,12,1,0,1,0
"80",285,73,1,10,1,0,0,1
"81",190,71,1,13,2,0,0,1
"82",170,67,1,12,4,0,0,1
"83",159,65,0,12,4,0,1,0
"84",185,70,1,14,5,0,1,0
"85",145,64,0,12,5,0,0,1
"86",175,75,1,12,3,0,0,1
"87",146,63,0,8,3,0,0,1
"88",270,68,1,12,3,0,1,0
"89",122,64,1,8,3,0,1,0
"90",140,62,0,8,2,0,1,0
"91",170,63,0,11,1,1,1,0
"92",160,68,0,12,5,0,1,0
"93",110,61,0,14,3,0,1,0
"94",224,73,1,11,3,0,1,0
"95",125,63,0,13,2,0,1,0
"96",119,60,0,10,1,0,1,0
"97",132,62,0,11,1,1,0,1
"98",162,64,0,8,1,0,0,1
"99",190,71,1,17,3,0,1,0
"100",108,63,0,14,4,0,0,1
"101",155,73,1,12,4,0,1,0
"102",170,67,1,13,1,0,1,0
"103",232,67,0,12,1,1,0,1
"104",127,63,0,12,5,0,0,1
"105",160,68,1,17,5,0,1,0
"106",142,63,0,13,2,0,1,0
"107",114,62,0,8,3,0,0,1
"108",320,71,1,12,3,0,0,1
"109",185,66,1,6,1,0,0,0
"110",116,61,0,7,1,0,0,0
"111",165,72,1,14,2,0,0,1
"112",130,63,0,13,2,0,1,0
"113",150,67,0,13,4,0,1,0
"114",168,64,0,4,3,0,0,1
"115",135,64,0,15,5,0,1,0
"116",180,65,0,9,3,0,0,1
"117",121,65,0,14,5,0,1,0
"118",130,66,1,5,3,0,1,0
"119",160,73,1,3,3,0,0,1
"120",112,64,0,12,1,0,1,0
"121",190,75,1,12,5,0,1,0
"122",110,64,0,14,2,0,0,1
"123",149,62,0,4,2,0,0,1
"124",137,61,0,11,3,0,1,0
"125",118,65,0,13,3,0,1,0
"126",148,66,0,8,1,0,0,1
"127",154,67,1,8,1,0,1,0
"128",130,69,1,9,5,0,1,0
"129",240,72,1,17,4,0,1,0
"130",150,69,1,12,3,0,1,0
"131",150,68,1,12,5,0,1,0
"132",149,70,0,15,1,0,0,1
"133",212,72,1,12,1,0,1,0
"134",200,70,1,14,5,0,0,1
"135",122,62,0,12,5,0,1,0
"136",237,60,0,5,1,0,0,1
"137",190,64,0,10,3,1,0,1
"138",222,70,1,3,3,0,0,1
"139",130,65,0,4,1,0,0,1
"140",135,61,0,11,2,0,1,0
"141",165,69,0,13,2,0,0,1
"142",170,73,1,6,3,1,0,1
"143",125,64,0,12,3,0,1,0
"144",165,69,1,15,3,0,1,0
"145",201,63,0,10,3,1,0,1
"146",189,63,0,7,3,1,0,1
"147",103,59,0,7,1,0,1,0
"148",240,74,1,11,5,0,1,0
"149",130,67,0,12,5,0,1,0
"150",170,64,0,8,4,0,1,0
"151",180,70,1,12,3,0,1,0
"152",139,63,0,7,1,0,1,0
"153",200,65,0,10,4,1,0,1
"154",158,64,0,14,4,0,1,0
"155",125,64,0,12,4,0,1,0
"156",NA,67,0,12,2,0,1,0
"157",130,65,0,7,3,0,1,0
"158",160,62,0,9,1,0,1,0
"159",159,61,0,10,3,0,1,0
"160",160,65,0,12,5,0,1,0
"161",142,64,0,11,5,0,0,1
"162",200,67,0,12,2,0,1,0
"163",190,69,1,12,5,0,1,0
"164",160,68,0,14,2,0,0,1
"165",167,68,1,16,3,0,1,0
"166",160,68,1,3,1,0,1,0
"167",152,69,1,8,3,0,0,1
"168",135,66,0,4,3,1,0,1
"169",151,63,0,9,3,0,0,1
"170",170,67,1,13,2,0,1,0
"171",140,55,0,17,4,0,0,1
"172",160,66,1,10,5,0,0,1
"173",205,72,1,14,5,0,1,0
"174",150,66,0,10,2,0,0,1
"175",152,65,0,8,1,1,0,1
"176",200,64,0,12,3,0,0,1
"177",230,76,1,14,3,0,0,1
"178",133,66,0,7,1,0,0,1
"179",159,60,0,8,1,0,0,1
"180",200,63,0,9,3,0,0,1
"181",170,69,0,10,1,0,0,1
"182",130,69,1,12,1,0,0,1
"183",124,63,0,13,4,0,1,0
"184",147,57,0,8,4,0,1,0
"185",165,65,0,12,3,0,1,0
"186",186,68,1,8,1,0,1,0
"187",161,59,0,11,1,1,0,1
"188",122,67,0,15,5,0,1,0
"189",115,62,0,8,1,0,1,0
"190",151,69,0,3,3,0,0,1
"191",145,65,0,12,1,0,1,0
"192",160,65,0,16,1,0,1,0
"193",150,62,0,12,3,0,1,0
"194",145,66,1,16,3,0,1,0
"195",175,65,1,8,3,0,1,0
"196",150,61,0,8,1,0,1,0
"197",215,72,1,5,3,0,1,0
"198",195,71,1,11,4,0,0,1
"199",153,67,1,9,4,0,1,0
