Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
Abingdon,4,15,479335.18,443774.12,35561.06,126794,91232.81,35561.19,10668.46,8890.37,1778.09
Addieville,2,9,68418.21,61714.54,6703.67,23553,16849.28,6703.72,2011.19,1675.99,335.2
Addison,19,85,7482850.99,6893027.43,589823.56,2233999,1644193.01,589805.99,176942.7,147452.27,29490.43
Albany,1,5,93737.83,87111,6626.83,33651,27024.17,6626.83,1988.14,1656.78,331.36
Albers,1,3,110417.49,98011.98,12405.51,34309,21903.67,12405.33,3721.64,3101.37,620.27
Albion,3,10,169537.05,154395.66,15141.39,38608,23466.91,15141.09,4542.43,3785.36,757.07
Aledo,3,11,449630.61,415917.46,33713.15,127960,94246.7,33713.3,10114.04,8428.35,1685.69
Alexis,1,2,68827.24,64492.28,4334.96,24030,19695.04,4334.96,1300.45,1083.71,216.74
Algonquin,13,60,2790561.28,2557314.74,233246.54,871009,637762.32,233246.68,69974.7,58312.26,11662.44
Alhambra,2,5,58577.22,52881.62,5695.6,19740,14044.45,5695.55,1708.7,1423.91,284.79
Alorton,1,5,1489189.62,1375918.17,113271.45,437325,324118.08,113206.92,33962.21,28301.84,5660.37
Alsey,1,4,114973.83,106357.91,8615.92,37078,28462.14,8615.86,2584.76,2153.97,430.79
Alsip,12,60,5686704.4,5252940.85,433763.55,1731656,1298345.11,433310.89,129993.55,108327.96,21665.59
Altamont,6,24,690435.73,634257.69,56178.04,186644,130466.16,56177.84,16853.45,14044.56,2808.89
Alton,31,129,7558129.4,6962324.3,595805.1,2147760,1551944.27,595815.73,178745.98,148955.03,29790.95
Altona,1,5,174612.8,160208.39,14404.41,52749,38344.59,14404.41,4321.39,3601.16,720.23
Amboy,6,28,1160391.92,1072826.88,87565.04,329567,242001.86,87565.14,26269.67,21891.4,4378.27
Andalusia,1,3,65773.65,61967.64,3806.01,18395,14588.87,3806.13,1141.89,951.58,190.31
Anna,5,24,1135022.92,1053149.01,81873.91,343002,261128.31,81873.69,24562.4,20468.66,4093.74
Annawan,3,15,684373.95,634542.79,49831.16,229211,179352.15,49858.85,14957.73,12464.77,2492.96
Antioch,12,56,4214972.83,3885840.89,329131.94,1337614,1008481.87,329132.13,98740.29,82283.61,16456.68
Apple River,2,3,19572.52,16227.08,3345.44,4699.5,1354.06,3345.44,1003.64,836.36,167.28
Arcola,2,10,360575.23,326738.58,33836.65,106132,72295.3,33836.7,10151.21,8459.34,1691.87
Arenzville,1,2,35911.11,32474.57,3436.54,10972,7535.29,3436.71,1031.02,859.19,171.83
Argenta,2,10,248708.14,226101.21,22606.93,84671,62064.07,22606.93,6782.21,5651.84,1130.37
Arlington,1,4,148934.29,137265.32,11668.97,43109,31440.07,11668.93,3500.7,2917.26,583.44
Armington,1,3,38350.12,33835.2,4514.92,13588,9073.08,4514.92,1354.5,1128.75,225.75
Aroma Park,3,10,398507.55,365972.31,32535.24,129399,96864.04,32534.96,9760.57,8133.81,1626.76
Arthur,1,5,195333.02,180237.65,15095.37,61653,46557.68,15095.32,4528.73,3773.95,754.78
Ashkum,2,6,136547.65,121412.28,15135.37,42458,27322.72,15135.28,4540.7,3783.92,756.78
Ashland,2,9,275656.14,255144.7,20511.44,88053,67541.67,20511.33,6153.46,5127.89,1025.57
Ashley,4,17,773503.05,718914.62,54588.43,222044,167455.67,54588.33,16376.47,13647.06,2729.41
Ashmore,3,15,528066.2,486605.45,41460.75,145275,103814.25,41460.75,12438.29,10365.24,2073.05
Ashton,3,14,330944.48,300627.75,30316.73,108363,78045.83,30317.17,9095.22,7579.34,1515.88
Assumption,3,14,329425.51,305026.27,24399.24,98176,73776.52,24399.48,7320.05,6100.05,1220
Astoria,1,3,54254.9,47911.57,6343.33,17833,11489.67,6343.33,1902.98,1585.82,317.16
Athens,4,19,632554.45,580931.72,51622.73,197235,145611.89,51623.11,15487.06,12905.89,2581.17
Atlanta,3,13,416458,390347.26,26110.74,122055,95944.26,26110.74,7833.3,6527.75,1305.55
Atwood,2,10,352563.01,320846.58,31716.43,108772,77055.59,31716.41,9515.02,7929.18,1585.84
Auburn,7,26,1276156.72,1175570.7,100586.02,363708,263121.91,100586.09,30176,25146.67,5029.33
Augusta,2,7,134251.98,122133.4,12118.58,43092,30973.42,12118.58,3635.75,3029.79,605.96
Aurora,32,137,4435336.47,4092471.95,342864.52,1331167,988229.66,342937.34,102881.82,85734.84,17146.98
Ava,2,7,304248.09,285427.66,18820.43,79725,60904.35,18820.65,5646.25,4705.2,941.05
Aviston,3,9,193970.72,176740.94,17229.78,67665,50434.89,17230.11,5169.06,4307.55,861.51
Avon,2,7,238869.83,216520.62,22349.21,72879,50529.38,22349.62,6704.92,5587.44,1117.48
Baldwin,2,5,102170.76,90163.11,12007.65,34677,22669.35,12007.65,3602.38,3001.99,600.39
Banner,2,8,308257.06,290027.37,18229.69,104137,85917.79,18219.21,5465.77,4554.81,910.96
Barry,5,18,568209.06,525343.61,42865.45,155007,112141.57,42865.43,12859.75,10716.47,2143.28
Bartelso,4,10,123804.79,111633.72,12171.07,45350,33178.78,12171.22,3651.42,3042.84,608.58
Bartlett,10,43,3806773.36,3506927.03,299846.33,1175568,875721.44,299846.56,89954.34,74961.98,14992.36
Bartonville,16,77,3209069.78,2957588.84,251480.94,1003450,751969.49,251480.51,75444.91,62870.81,12574.1
Basco,1,2,93994.82,85427.37,8567.45,31702,23134.7,8567.3,2570.2,2141.84,428.36
Batavia,1,5,7309.17,7008.14,301.03,2468,2166.97,301.03,90.31,75.26,15.05
Batchtown,1,5,115610.62,106416.48,9194.14,35254,26058.86,9195.14,2758.6,2298.83,459.77
Bath,1,3,69384.56,62777.23,6607.33,22104,15496.67,6607.33,1982.27,1651.89,330.38
Beach Park,5,24,1566671.36,1455020.32,111651.04,516956,405305.19,111650.81,33495.38,27912.82,5582.56
Beardstown,8,36,1751887.48,1615627.63,136259.85,517391,381130.96,136260.04,40878.37,34065.34,6813.03
Beaverville,2,9,387691,361967.5,25723.5,122098,96374.75,25723.25,7717.16,6430.96,1286.2
Beckemeyer,2,10,540649.74,498347.35,42302.39,176746,134447.64,42298.36,12689.54,10574.62,2114.92
Bedford Park,3,13,1968180.48,1810979.96,157200.52,598408,441210.93,157197.07,47159.26,39299.39,7859.87
Beecher,8,35,1096621.12,1017334.51,79286.61,355671,276384.52,79286.48,23786.1,19821.75,3964.35
Belgium,2,10,492890.03,446488.37,46401.66,167311,120909.34,46401.66,13920.61,11600.51,2320.1
Belleville,28,122,6845152.67,6302368.89,542783.78,2119296,1576512.32,542783.68,162836.3,135696.94,27139.36
Bellevue,3,14,513420.59,479060.27,34360.32,164011,129650.68,34360.32,10308.29,8590.24,1718.05
Bellwood,4,17,862683.76,784806.88,77876.88,288101,210223.12,77877.88,23363.47,19469.56,3893.91
Belvidere,16,77,5959581.13,5514583.53,444997.6,1822607,1377605.35,445001.65,133501.2,111251.01,22250.19
Bement,3,13,421034.51,384573.55,36460.96,128703,92241.64,36461.36,10938.54,9115.45,1823.09
Benld,3,14,554906.82,508460.99,46445.83,161917,115471.11,46445.89,13933.82,11611.54,2322.28
