"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Today, Tax Day, is a good day to remember that we have a rigged economy that is only getting more skewed in favor o… https://t.co/efB51HE4C1",FALSE,8479,NA,2017-04-18 16:32:03,TRUE,NA,"854371960628936705",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SenSanders",5858,FALSE,FALSE,NA,NA
"2","To me, family values mean leaving behind a planet that is livable for our children and grandchildren.",FALSE,17310,NA,2017-04-18 14:57:00,FALSE,NA,"854348041280569344",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SenSanders",5233,FALSE,FALSE,NA,NA
"3","I do not want to see the United States get sucked into perpetual warfare in the Middle East and see lives lost and… https://t.co/PFIMlTy0Nc",FALSE,10282,NA,2017-04-18 14:36:08,TRUE,NA,"854342790943318017",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SenSanders",4520,FALSE,FALSE,NA,NA
"4","I do not believe there is any state in this country that supports Trump's disastrous right wing agenda. If we mobil… https://t.co/zJvDlSLHq6",FALSE,22113,NA,2017-04-15 18:34:32,TRUE,NA,"853315618967359489",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SenSanders",7660,FALSE,FALSE,NA,NA
"5","Virtually every Western industrialized country has chosen to end capital punishment. The United States should join them.",FALSE,19458,NA,2017-04-15 13:25:30,FALSE,NA,"853237851789697024",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SenSanders",4630,FALSE,FALSE,NA,NA
"6","When we stand up and fight back we can change the country in very positive ways. https://t.co/U4jSzrFaK5",FALSE,28150,NA,2017-04-14 19:56:58,FALSE,NA,"852973977333006342",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenSanders",7880,FALSE,FALSE,NA,NA
"7","A lot of working people voted for Trump because they thought he was going to stand up for them. Well, it turns out… https://t.co/meuc9pN1M1",FALSE,15018,NA,2017-04-14 17:11:19,TRUE,NA,"852932291257151490",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SenSanders",6377,FALSE,FALSE,NA,NA
"8","People who voted for Trump now understand that his agenda is for the billionaire class, not for working families. https://t.co/T7KJuRHV4V",FALSE,22690,NA,2017-04-13 21:24:14,FALSE,NA,"852633551048773632",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SenSanders",7656,FALSE,FALSE,NA,NA
"9","The Bernie Sanders Show is now on @GooglePlayMusic. Subscribe now! https://t.co/ysyYKTlt8A",FALSE,2730,NA,2017-04-13 19:51:07,FALSE,NA,"852610118730608641",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SenSanders",905,FALSE,FALSE,NA,NA
"10","We must not be the only major country on earth not to guarantee health care for all. https://t.co/tDrtjlCTCM",FALSE,5936,NA,2017-04-13 18:42:43,FALSE,NA,"852592902949699586",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","SenSanders",1813,FALSE,FALSE,NA,NA
