"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","#Thankful #Blessed #Grateful",FALSE,0,NA,2017-04-18 19:17:01,FALSE,NA,"854413476533501952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QweenAC_",0,FALSE,FALSE,NA,NA
"2","@nelofar_ch I'm privileged to watch this endless creativity from 401km above Gambo, Canada #blessed",FALSE,0,"nelofar_ch",2017-04-18 19:17:00,FALSE,NA,"854413473262055425","2910668226","<a href=""http://www.projectadrift.co.uk/"" rel=""nofollow"">SuitSatAdrift</a>","SuitSatAdrift",0,FALSE,FALSE,NA,NA
"3","#Pescara dildo #hardfuck #blessed facials swallowcum #escort #femdom doggy gaping https://t.co/iLow9zCfAn",FALSE,0,NA,2017-04-18 19:16:50,FALSE,NA,"854413429494427653",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AngelaGay32",0,FALSE,FALSE,NA,NA
"4","update on my week.. ran into a wall in front of my entire bio lab.. happy tuesday #blessed",FALSE,0,NA,2017-04-18 19:16:48,FALSE,NA,"854413419503661060",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_mir____",0,FALSE,FALSE,NA,NA
"5","#trento #camgirls retweet #blessed #vibrator hainaut #milfdating #housewife altamura #badoo https://t.co/DEFlnnDZ45",FALSE,0,NA,2017-04-18 19:16:47,FALSE,NA,"854413417804947457",NA,"<a href=""https://twitter.com/WT4P4BLLRyzgap3"" rel=""nofollow"">WT4P4BLLRyzgap3935</a>","WT4P4BLLRyzgap3",0,FALSE,FALSE,NA,NA
"6","RT @AqibTalib21: @NFL Thank You! #blessed",FALSE,0,NA,2017-04-18 19:15:54,FALSE,NA,"854413196471435265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","YRN_Vothz",23,TRUE,FALSE,NA,NA
"7","RT @The_Real_IMAN: Paradise found #blessed https://t.co/OZgnM8nxGQ",FALSE,0,NA,2017-04-18 19:15:50,FALSE,NA,"854413177601351682",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jua_Howard",136,TRUE,FALSE,NA,NA
"8","RT @AqibTalib21: @NFL Thank You! #blessed",FALSE,0,NA,2017-04-18 19:15:46,FALSE,NA,"854413162258366464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tj_Lovato",23,TRUE,FALSE,NA,NA
"9","Just ate a really crunchy grape #blessed",FALSE,0,NA,2017-04-18 19:15:43,FALSE,NA,"854413147347832833",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RebeccaKotter",0,FALSE,FALSE,NA,NA
"10","RT @gapeachy7: We had a good few days of new content. #Blessed https://t.co/Qa9oVGOsCH",FALSE,0,NA,2017-04-18 19:15:33,FALSE,NA,"854413107866816512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gemini11",22,TRUE,FALSE,NA,NA
"11","RT @__Jeneen: Alhamdullah for everything man <U+2728><ed><U+00A0><U+00BD><ed><U+00B9><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB> #blessed #grateful",FALSE,0,NA,2017-04-18 19:15:07,FALSE,NA,"854412999083393024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Bayyann__",2,TRUE,FALSE,NA,NA
