"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","I ask my colleagues and everyone in the Capitol community to keep Matthew’s loved ones in your thoughts. 3/3",FALSE,415,"SpeakerRyan",2017-04-18 18:08:14,FALSE,"854395028751384578","854396165068124160","18916432","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpeakerRyan",85,FALSE,FALSE,NA,NA
"2","Matthew and his wife, Lauren, have two young children, Evie and Matthew. Their loss is so sudden and unimaginable. 2/3",FALSE,300,"SpeakerRyan",2017-04-18 18:03:43,FALSE,"854394166377418753","854395028751384578","18916432","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpeakerRyan",73,FALSE,FALSE,NA,NA
"3","This morning, a tragic accident on Capitol grounds took the life of Matthew McClanahan, a pipefitter for the Architect of the Capitol. 1/3",FALSE,424,NA,2017-04-18 18:00:17,FALSE,NA,"854394166377418753",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpeakerRyan",158,FALSE,FALSE,NA,NA
"4","We must make the tax code—and Tax Day itself—simpler for all Americans. https://t.co/QbNmD5HBPH",FALSE,1658,NA,2017-04-18 12:45:15,FALSE,NA,"854314882631700481",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SpeakerRyan",394,FALSE,FALSE,NA,NA
"5","To fix the #VA, we need to change the culture. Hold bureaucrats accountable. Hire the right people.",FALSE,621,"SpeakerRyan",2017-04-17 21:16:00,FALSE,"852514414733520896","854081029237329921","18916432","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpeakerRyan",97,FALSE,FALSE,NA,NA
"6","On Easter Sunday, we are reminded that one of the most important messages Christianity has brought the world is one… https://t.co/Ee275UaBrt",FALSE,2738,NA,2017-04-17 00:41:21,TRUE,NA,"853770322939654144",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SpeakerRyan",469,FALSE,FALSE,NA,NA
"7","Diverse though we may be, Christians around the world are united in our shared belief that Jesus rose from the dead. https://t.co/Ve6AvaqFpG",FALSE,2721,NA,2017-04-16 18:12:21,FALSE,NA,"853672426386927616",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpeakerRyan",396,FALSE,FALSE,NA,NA
"8","Today, I wish you and your loved ones a blessed Easter. https://t.co/AeQy6PfQS8",FALSE,3839,NA,2017-04-16 12:43:04,FALSE,NA,"853589558738509824",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","SpeakerRyan",486,FALSE,FALSE,NA,NA
"9","Wishing our Sikh American neighbors and friends a happy #Vaisakhi!",FALSE,903,NA,2017-04-14 20:57:51,FALSE,NA,"852989298655801348",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SpeakerRyan",188,FALSE,FALSE,NA,NA
"10","On #GoodFriday, we pause to remember and pray for all those around the world persecuted because of their Christian faith.",FALSE,5703,NA,2017-04-14 15:15:00,FALSE,NA,"852903019431776256",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SpeakerRyan",1389,FALSE,FALSE,NA,NA
