"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @OversightDems: QUESTION: Do YOU want to see #POTUS #Trump’s Taxes?",FALSE,0,NA,2017-04-18 19:33:29,FALSE,NA,"854417620078088193",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","satsumi_o",333,TRUE,FALSE,NA,NA
"2","RT @taxmarch: More than 3/4 of voters think that millionaires and billionaires &amp; wealthy corporations pay less than their fair share in tax…",FALSE,0,NA,2017-04-18 19:33:28,FALSE,NA,"854417616336809986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CL4R4GU3RR4",33,TRUE,FALSE,NA,NA
"3","RT @Alifaith55: ""If I decide to run for office, I'll produce my tax returns, absolutely."" 

- Donald Trump, lying about his taxes in 2014…",FALSE,0,NA,2017-04-18 19:33:28,FALSE,NA,"854417615623794689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SandDollar04",1027,TRUE,FALSE,NA,NA
"4","RT @Alifaith55: ""If I decide to run for office, I'll produce my tax returns, absolutely."" 

- Donald Trump, lying about his taxes in 2014…",FALSE,0,NA,2017-04-18 19:33:28,FALSE,NA,"854417614810079235",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","angie_p217",1027,TRUE,FALSE,NA,NA
"5","RT @SenatorCardin: A #TaxDay reminder: every @POTUS since Nixon - both Republicans &amp; Dems - have released their taxes to the public. Until…",FALSE,0,NA,2017-04-18 19:33:28,FALSE,NA,"854417614591991809",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","electronlove",9,TRUE,FALSE,NA,NA
"6","@buggazing @ChelieinTX @AuburnJulia GP I know I (and the companies for which I work) have to file taxes, but govern… https://t.co/GMAfaBbNVu",FALSE,1,"buggazing",2017-04-18 19:33:27,TRUE,"854417426343231488","854417612591292416","69755849","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Gormogons",0,FALSE,FALSE,NA,NA
"7","RT @Bill_Nye_Tho: i'll pay my taxes when the USA pays attention to the metric system how about that",FALSE,0,NA,2017-04-18 19:33:26,FALSE,NA,"854417608279343104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eveebauer",539,TRUE,FALSE,NA,NA
"8","@TeriannMann @kylegriffin1 @grannynannynews @MSNBC According to Maddow Russian money laundered thru real estate dea… https://t.co/vimA8JuJLW",FALSE,0,"TeriannMann",2017-04-18 19:33:26,TRUE,"854394002765950977","854417608162119681","795443894037123072","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","carla_margolis",0,FALSE,FALSE,NA,NA
"9","Here’s why you can’t talk #economics without also addressing #politics and policy: https://t.co/5aZ38KVH7B",FALSE,0,NA,2017-04-18 19:33:26,FALSE,NA,"854417607184797697",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","BradMcMillanCFA",0,FALSE,FALSE,NA,NA
"10","RT @CloydRivers: Happy Tax Day. Remember to pay your taxes this year so the Government can give it to people that don't work as hard as you…",FALSE,0,NA,2017-04-18 19:33:26,FALSE,NA,"854417606517731328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_justin_thomas",928,TRUE,FALSE,NA,NA
"11","RT @CherylJstwin: @LATiffani1 @Al Sharpton lets see your taxes? Oh forgot you don't pay taxes?",FALSE,0,NA,2017-04-18 19:33:25,FALSE,NA,"854417602281693184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","starrtraveler29",3,TRUE,FALSE,NA,NA
"12","RT @DLC988: Baisser les impôts et les Taxes et revaloriser les retraites #ProjetNDA https://t.co/KOLyJBgBCl",FALSE,0,NA,2017-04-18 19:33:24,FALSE,NA,"854417598007693312",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zorroarrive",10,TRUE,FALSE,NA,NA
"13","@TheOnion Wait, taxes are due? Lol <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>",FALSE,0,"TheOnion",2017-04-18 19:33:24,FALSE,"854087099494084613","854417596837371904","14075928","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GokuAurelius",0,FALSE,FALSE,NA,NA
"14","RT @CloydRivers: Happy Tax Day. Remember to pay your taxes this year so the Government can give it to people that don't work as hard as you…",FALSE,0,NA,2017-04-18 19:33:23,FALSE,NA,"854417594832388096",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jant2016",928,TRUE,FALSE,NA,NA
"15","RT @paddypower: Rumours suggest Harry Redknapp will earn £2m a year at Birmingham City, or about £2.7m after taxes.",FALSE,0,NA,2017-04-18 19:33:23,FALSE,NA,"854417594824216576",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Jackboot94",1749,TRUE,FALSE,NA,NA
"16","RT @CloydRivers: Happy Tax Day. Remember to pay your taxes this year so the Government can give it to people that don't work as hard as you…",FALSE,0,NA,2017-04-18 19:33:22,FALSE,NA,"854417590399229952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kyle_Colbert3",928,TRUE,FALSE,NA,NA
"17","RT @Alifaith55: Please RETWEET if...

You're one of 74% of Americans who want to see Trump's taxes &amp; were not paid to hold that opinion

#T…",FALSE,0,NA,2017-04-18 19:33:22,FALSE,NA,"854417588998336518",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RevJECK",917,TRUE,FALSE,NA,NA
"18","@SenatorLeahy @KatrinaNation @washingtonpost Right nothing can be cut. Because u think the 50% that pay taxes u own… https://t.co/PdUFD8YjC3",FALSE,0,"SenatorLeahy",2017-04-18 19:33:21,TRUE,"854372523827490818","854417587379343366","242836537","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Stormintime",0,FALSE,FALSE,NA,NA
"19","RT @FiveRights: Lefties,
Why so upset abt Trump's old taxes?
You accepted Obama w/o knowing his birthplace, upbringing, grades, or even his…",FALSE,0,NA,2017-04-18 19:33:20,FALSE,NA,"854417581393956864",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","TruthisnotT",2641,TRUE,FALSE,NA,NA
