"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","My mom keeps liking tweets of people hating on me",FALSE,23333,NA,2017-04-18 18:44:00,FALSE,NA,"854405168649060352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",2213,FALSE,FALSE,NA,NA
"2","What the fuck does this even mean https://t.co/r1yhndZPsF",FALSE,4017,NA,2017-04-18 18:40:19,FALSE,NA,"854404240839647232",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",278,FALSE,FALSE,NA,NA
"3","The best part of kids calling you old is the inner smirk that happens because oh child, you'll be right here soon e… https://t.co/7hDXlEYMKF",FALSE,6483,NA,2017-04-18 18:38:19,TRUE,NA,"854403737284075521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",568,FALSE,FALSE,NA,NA
"4","I finished ""13 Reasons Why"" and wooooooo wee I feel old.",FALSE,10904,NA,2017-04-18 18:36:32,FALSE,NA,"854403288493572097",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",741,FALSE,FALSE,NA,NA
"5","@JasenKaplan Same. Do you get the notifications of people adding their phone number to your account?",FALSE,11,"JasenKaplan",2017-04-18 16:37:01,FALSE,"854372618107052038","854373211584077828","24240326","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",0,FALSE,FALSE,NA,NA
"6","@WhoWhatWear I promise I would look like poop in this",FALSE,108,"WhoWhatWear",2017-04-18 16:25:22,FALSE,"854336615556296706","854370279501344768","19212009","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",5,FALSE,FALSE,NA,NA
"7","@sacca YEP",FALSE,219,"sacca",2017-04-18 04:34:25,FALSE,"854190629995159553","854191363964805120","586","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",6,FALSE,FALSE,NA,NA
"8","why would I want this https://t.co/ktuorpHYUM",FALSE,35775,NA,2017-04-18 04:34:13,FALSE,NA,"854191309879255040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",4267,FALSE,FALSE,NA,NA
"9","@WaldoWilbur O hell yea",FALSE,41,"WaldoWilbur",2017-04-18 04:32:23,FALSE,"854189740387708932","854190851530006528","479069121","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",0,FALSE,FALSE,NA,NA
"10","Finally https://t.co/araQpWpgk5",FALSE,23841,NA,2017-04-18 04:31:24,FALSE,NA,"854190601536806912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",1987,FALSE,FALSE,NA,NA
"11","@AshtinSongster That is very specific but I also never leave the couch",FALSE,311,"AshtinSongster",2017-04-18 04:29:12,FALSE,"854189480256950272","854190047657984000","325683784","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chrissyteigen",21,FALSE,FALSE,NA,NA
