"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime &amp; 2nd A.",FALSE,42916,NA,2017-04-18 10:46:19,FALSE,NA,"854284952539725828",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12727,FALSE,FALSE,NA,NA
"2","Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",FALSE,37464,NA,2017-04-18 10:38:59,FALSE,NA,"854283110191685634",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10777,FALSE,FALSE,NA,NA
"3","I will be interviewed on @foxandfriends by @ainsleyearhardt starting at 6:00 A.M. Enjoy!",FALSE,23104,NA,2017-04-18 09:48:10,FALSE,NA,"854270321620287490",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",3596,FALSE,FALSE,NA,NA
"4","The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!",FALSE,49808,NA,2017-04-18 09:39:25,FALSE,NA,"854268119774367745",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12510,FALSE,FALSE,NA,NA
"5","With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes &amp; safety!",FALSE,49714,NA,2017-04-18 02:18:38,FALSE,NA,"854157191053553666",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12019,FALSE,FALSE,NA,NA
"6","See you tomorrow Wisconsin!

'Trump spurs small-business optimism in Milwaukee area'
https://t.co/JUxhO3oqjO",FALSE,35685,NA,2017-04-17 22:41:53,FALSE,NA,"854102644394254341",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",7499,FALSE,FALSE,NA,NA
"7","TRUMP APPROVAL HITS 50%
https://t.co/vjZkGTyQb9",FALSE,47959,NA,2017-04-17 22:38:30,FALSE,NA,"854101790886948866",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9466,FALSE,FALSE,NA,NA
"8","The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",FALSE,56207,NA,2017-04-17 13:31:03,FALSE,NA,"853964023846588420",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18651,FALSE,FALSE,NA,NA
"9","The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!",FALSE,76516,NA,2017-04-17 12:17:59,FALSE,NA,"853945633903923200",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17343,FALSE,FALSE,NA,NA
"10","A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles.",FALSE,48401,NA,2017-04-17 12:13:17,FALSE,NA,"853944453538750464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11758,FALSE,FALSE,NA,NA
"11","""The first 90 days of my presidency has exposed the total failure of the last eight years of foreign policy!"" So true. @foxandfriends",FALSE,70097,NA,2017-04-17 12:07:16,FALSE,NA,"853942936337350656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15242,FALSE,FALSE,NA,NA
