"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","On #OneBostonDay, Boston asks everyone to participate in acts of kindness &amp; service. Join us &amp; learn more at https://t.co/6570AlpArP.",FALSE,1522,"SenWarren",2017-04-14 16:47:29,FALSE,"852925939377999872","852926291204558850","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",462,FALSE,FALSE,NA,NA
"2","Saturday is the 4-yr anniv of the Marathon bombings. We remember the victims of that tragedy, but also the generosity of many in its wake.",FALSE,6993,NA,2017-04-14 16:46:05,FALSE,NA,"852925939377999872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1214,FALSE,FALSE,NA,NA
"3","Another terrific town hall in Salem tonight! Glad to answer people's questions &amp; talk about how I'm fighting for MA… https://t.co/vmP3hgcbbl",FALSE,9917,NA,2017-04-14 02:10:00,TRUE,NA,"852705467818233856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",1396,FALSE,FALSE,NA,NA
"4","In the choice between students &amp; student loan companies, Betsy DeVos made clear she stands with companies that cheat &amp; squeeze borrowers.",FALSE,22601,NA,2017-04-12 17:01:09,FALSE,NA,"852204955264045056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",10494,FALSE,FALSE,NA,NA
"5",".@usedgov Yet another gut punch to struggling student loan borrowers. And another reason we need the @CFPB to prote… https://t.co/qGCE14pL7s",FALSE,1752,"SenWarren",2017-04-12 17:00:05,TRUE,"852204323991937024","852204688342753281","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",533,FALSE,FALSE,NA,NA
"6","Make no mistake: Betsy DeVos &amp; @usedgov just gave a big wet kiss to Navient, which pushed students into bad loans. https://t.co/9oSgcuQs4U",FALSE,4546,NA,2017-04-12 16:58:38,FALSE,NA,"852204323991937024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",2977,FALSE,FALSE,NA,NA
"7",".@usedgov DeVos rolled back protections that make it harder for student loan companies that cheat borrowers to keep raking in gov contracts.",FALSE,1844,"SenWarren",2017-04-12 16:57:02,FALSE,"852203692237496321","852203919778480129","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",954,FALSE,FALSE,NA,NA
"8",".@usedgov Secretary Betsy DeVos just ripped up policies created last year to protect student loan borrowers. https://t.co/zjaiAtJgZC",FALSE,4361,NA,2017-04-12 16:56:08,FALSE,NA,"852203692237496321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",4252,FALSE,FALSE,NA,NA
"9",".@CFPB @WellsFargo The @SEC_News &amp; @TheJusticeDept should use all the tools they have to hold Stumpf &amp; @WellsFargo… https://t.co/Lc1pXijncJ",FALSE,1344,"SenWarren",2017-04-10 20:28:44,TRUE,"851531935407099906","851532420792844288","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",358,FALSE,FALSE,NA,NA
"10",".@CFPB @WellsFargo .@WellsFargo’s clawback is a good step, but an internal investigation is no substitute for a tho… https://t.co/MMdNUGZOva",FALSE,1403,"SenWarren",2017-04-10 20:26:48,TRUE,"851531698437328896","851531935407099906","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",325,FALSE,FALSE,NA,NA
"11",".@CFPB @WellsFargo The @WellsFargo board just clawed back another $75M from 2 execs, including fmr CEO Stumpf. https://t.co/AiHtU2JaeR",FALSE,592,"SenWarren",2017-04-10 20:25:52,FALSE,"851531522582642689","851531698437328896","970207298","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",212,FALSE,FALSE,NA,NA
"12","After the @CFPB helped bring to light the fake accounts scandal at @WellsFargo, the bank’s Board launched an internal investigation.",FALSE,2486,NA,2017-04-10 20:25:10,FALSE,NA,"851531522582642689",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenWarren",523,FALSE,FALSE,NA,NA
"13","If @realDonaldTrump truly wants to help Syrians fleeing murderers, he should drop his effort to ban their children from America immediately.",FALSE,33793,NA,2017-04-08 20:11:02,FALSE,NA,"850803190983524352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",12064,FALSE,FALSE,NA,NA
"14","Congress must demand an actual strategy, clear goals, and a plan for achieving them before approving additional military action in Syria.",FALSE,14193,NA,2017-04-08 20:09:52,FALSE,NA,"850802896933408769",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",3715,FALSE,FALSE,NA,NA
"15","The President's erratic approach to Syria is not a strategy. It underscores why our Constitution doesn't let Presidents wage war alone.",FALSE,23316,NA,2017-04-08 20:08:39,FALSE,NA,"850802589172158466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SenWarren",7886,FALSE,FALSE,NA,NA
